price,console,title,id
24.99,PlayStation 3,FIFA 17,2109
29.99,Xbox 360,FIFA 17,2110
19.99,Xbox One,FIFA 17,2111
11.99,Xbox One,FIFA 17,2112
29.99,PlayStation 4,FIFA 17,2113
10.99,PlayStation 4,FIFA 17,2114
54.99,Xbox One,FIFA 17 - SteelBook Edition,2115
54.99,PlayStation 4,FIFA 17 - SteelBook Edition,2116
19.99,Xbox One,FIFA 17 Deluxe Edition,2117
29.99,PlayStation 4,FIFA 17 Deluxe Edition,2118
18.99,Xbox One,FIFA 17 Deluxe Edition Scarf Bundle,2119
33.99,PlayStation 4,FIFA 17 Deluxe Edition Scarf Bundle,2120
25.99,PlayStation 3,Fifa 17,2121
45.99,Nintendo Switch,FIFA 18,2122
51.99,PlayStation 3,FIFA 18 Legacy Edition,2123
55.99,Xbox 360,FIFA 18 Legacy Edition,2124
59.99,PlayStation 4,FIFA 18 Ronaldo Edition,2125
47.49,Xbox One,FIFA 18 Standard Edition,2126
47.49,Xbox One,FIFA 18 Standard Edition,2127
39.99,PlayStation 4,FIFA 18 Standard Edition,2128
9.99,Xbox 360,FIFA 2006,2129
5.99,Xbox 360,FIFA Soccer 07,2130
19.99,PlayStation 2,FIFA Soccer 07,2131
4.99,PlayStation 2,FIFA Soccer 09,2132
10.99,PlayStation 3,FIFA Soccer 10,2133
18.99,Xbox 360,FIFA Soccer 10,2134
23.99,PlayStation 2,FIFA Soccer 10,2135
6.99,PlayStation 3,FIFA Soccer 11,2136
16.99,Xbox 360,FIFA Soccer 11,2137
